2026-03-01 15:30:52,850 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:52,850 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:55,339 [INFO] [S] 语义清洗完成 doc_id=181070772859780650 type=txt understand=True (470→575字, 1段)
2026-03-01 15:30:55,339 [INFO] [S] 语义清洗完成 doc_id=181070772859780650 type=txt understand=True (470→575字, 1段)
2026-03-01 15:30:55,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:55,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:56,284 [INFO] [S] 语义清洗完成 doc_id=181344617712963693 type=txt understand=True (114→87字, 1段)
2026-03-01 15:30:56,284 [INFO] [S] 语义清洗完成 doc_id=181344617712963693 type=txt understand=True (114→87字, 1段)
2026-03-01 15:30:56,734 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:56,734 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:58,991 [INFO] [S] 语义清洗完成 doc_id=181401342746135511 type=txt understand=True (217→231字, 1段)
2026-03-01 15:30:58,991 [INFO] [S] 语义清洗完成 doc_id=181401342746135511 type=txt understand=True (217→231字, 1段)
2026-03-01 15:30:59,431 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:59,431 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:01,165 [INFO] [S] 语义清洗完成 doc_id=181746179930197227 type=txt understand=True (195→183字, 1段)
2026-03-01 15:31:01,165 [INFO] [S] 语义清洗完成 doc_id=181746179930197227 type=txt understand=True (195→183字, 1段)
2026-03-01 15:31:01,662 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:01,662 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:05,747 [INFO] [S] 语义清洗完成 doc_id=181894492763559965 type=txt understand=True (239→305字, 1段)
2026-03-01 15:31:05,747 [INFO] [S] 语义清洗完成 doc_id=181894492763559965 type=txt understand=True (239→305字, 1段)
2026-03-01 15:31:06,228 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:06,228 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:08,915 [INFO] [S] 语义清洗完成 doc_id=181689678494861909 type=txt understand=True (569→594字, 1段)
2026-03-01 15:31:08,915 [INFO] [S] 语义清洗完成 doc_id=181689678494861909 type=txt understand=True (569→594字, 1段)
2026-03-01 15:31:09,393 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:09,393 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:15,182 [INFO] [S] 语义清洗完成 doc_id=181938236393939409 type=txt understand=True (581→636字, 1段)
2026-03-01 15:31:15,182 [INFO] [S] 语义清洗完成 doc_id=181938236393939409 type=txt understand=True (581→636字, 1段)
2026-03-01 15:31:15,591 [INFO] [S] 语义清洗完成 doc_id=181072065791989936 type=txt understand=True (1260→1453字, 1段)
2026-03-01 15:31:15,591 [INFO] [S] 语义清洗完成 doc_id=181072065791989936 type=txt understand=True (1260→1453字, 1段)
2026-03-01 15:31:15,624 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:15,624 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:16,020 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:16,020 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:18,732 [INFO] [S] 语义清洗完成 doc_id=181988661145021562 type=txt understand=True (497→615字, 1段)
2026-03-01 15:31:18,732 [INFO] [S] 语义清洗完成 doc_id=181988661145021562 type=txt understand=True (497→615字, 1段)
2026-03-01 15:31:19,165 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:19,165 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:22,899 [INFO] [S] 语义清洗完成 doc_id=182510677630585917 type=txt understand=True (567→703字, 1段)
2026-03-01 15:31:22,899 [INFO] [S] 语义清洗完成 doc_id=182510677630585917 type=txt understand=True (567→703字, 1段)
2026-03-01 15:31:23,362 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:23,362 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:26,113 [INFO] [S] 语义清洗完成 doc_id=183164631917294062 type=txt understand=True (712→490字, 1段)
2026-03-01 15:31:26,113 [INFO] [S] 语义清洗完成 doc_id=183164631917294062 type=txt understand=True (712→490字, 1段)
2026-03-01 15:31:29,280 [INFO] [S] 语义清洗完成 doc_id=182787540730242038 type=txt understand=True (559→715字, 1段)
2026-03-01 15:31:29,280 [INFO] [S] 语义清洗完成 doc_id=182787540730242038 type=txt understand=True (559→715字, 1段)
2026-03-01 15:31:36,124 [INFO] [S] 语义清洗完成 doc_id=183257841274931223 type=txt understand=True (901→657字, 1段)
2026-03-01 15:31:36,124 [INFO] [S] 语义清洗完成 doc_id=183257841274931223 type=txt understand=True (901→657字, 1段)
2026-03-01 15:32:00,294 [INFO] [S] 语义清洗完成 doc_id=183210593452742793 type=txt understand=True (2351→2219字, 1段)
2026-03-01 15:32:00,294 [INFO] [S] 语义清洗完成 doc_id=183210593452742793 type=txt understand=True (2351→2219字, 1段)
2026-03-01 15:32:01,140 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,140 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,277 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,277 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,307 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,307 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,331 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:01,331 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:04,869 [INFO] [S] 语义清洗完成 doc_id=183339771834788733 type=txt understand=True (139→139字, 1段)
2026-03-01 15:32:04,869 [INFO] [S] 语义清洗完成 doc_id=183339771834788733 type=txt understand=True (139→139字, 1段)
2026-03-01 15:32:05,266 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:05,266 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:08,754 [INFO] [S] 语义清洗完成 doc_id=183677437202667852 type=txt understand=True (331→382字, 1段)
2026-03-01 15:32:08,754 [INFO] [S] 语义清洗完成 doc_id=183677437202667852 type=txt understand=True (331→382字, 1段)
2026-03-01 15:32:09,154 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:09,154 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:19,104 [INFO] [S] 语义清洗完成 doc_id=183939310565163440 type=txt understand=True (1027→705字, 1段)
2026-03-01 15:32:19,104 [INFO] [S] 语义清洗完成 doc_id=183939310565163440 type=txt understand=True (1027→705字, 1段)
2026-03-01 15:32:19,620 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:19,620 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:19,667 [INFO] [S] 语义清洗完成 doc_id=183712709633371124 type=txt understand=True (1178→946字, 1段)
2026-03-01 15:32:19,667 [INFO] [S] 语义清洗完成 doc_id=183712709633371124 type=txt understand=True (1178→946字, 1段)
2026-03-01 15:32:20,089 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:20,089 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:32:24,124 [INFO] [S] 语义清洗完成 doc_id=183738172769095674 type=txt understand=True (1013→1255字, 1段)
2026-03-01 15:32:24,124 [INFO] [S] 语义清洗完成 doc_id=183738172769095674 type=txt understand=True (1013→1255字, 1段)
